tipo,valor,parceiro,data
Prémio Diário,20,–,2023-03-18 22:00:00
Prémio Diário,20,–,2023-03-19 23:24:00
Prémio Diário,20,–,2023-03-20 07:48:00
Prémio Diário,20,–,2023-03-21 08:12:00
Prémio Diário,20,–,2023-03-22 09:36:00
Prémio Diário,20,–,2023-03-23 10:00:00
Prémio Diário,20,–,2023-03-24 11:24:00
Prémio Diário,20,–,2023-03-25 12:48:00
Prémio Mensal,200,–,2023-03-25 14:00:00
Prémio Semanal,100,–,2023-03-26 09:45:00
Prémio Diário,20,–,2023-03-26 13:12:00
Prémio Semanal,100,–,2023-03-27 11:15:00
Prémio Diário,20,–,2023-03-27 14:36:00
Prémio Diário,20,–,2023-03-28 15:00:00
Prémio Diário,20,–,2023-03-29 16:24:00
Prémio Diário,20,–,2023-03-30 17:48:00
Prémio Diário,20,–,2023-03-31 18:12:00
Prémio Diário,20,–,2023-04-01 19:36:00
Prémio Diário,20,–,2023-04-02 20:00:00
Prémio Diário,20,–,2023-04-03 21:24:00
Prémio Semanal,100,–,2023-04-04 13:45:00
Prémio Diário,20,–,2023-04-04 22:48:00
Prémio Diário,20,–,2023-04-05 23:12:00
Prémio Diário,20,–,2023-04-06 07:36:00
Prémio Diário,20,–,2023-04-07 08:00:00
Prémio Diário,20,–,2023-04-08 09:24:00
Prémio Diário,20,–,2023-04-09 10:48:00
Prémio Diário,20,–,2023-04-10 11:12:00
Prémio Diário,20,–,2023-04-11 12:36:00
Prémio Diário,20,–,2023-04-12 13:00:00
Prémio Semanal,100,–,2023-04-12 15:15:00
Prémio Diário,20,–,2023-04-13 14:24:00
Prémio Diário,20,–,2023-04-14 15:48:00
Prémio Diário,20,–,2023-04-15 16:12:00
Prémio Diário,20,–,2023-04-16 17:36:00
Prémio Diário,20,–,2023-04-17 18:00:00
Prémio Diário,20,–,2023-04-18 19:24:00
Prémio Diário,20,–,2023-04-19 20:48:00
Prémio Semanal,100,–,2023-04-20 17:45:00
Prémio Diário,20,–,2023-04-20 21:12:00
Prémio Diário,20,–,2023-04-21 22:36:00
Prémio Diário,20,–,2023-04-22 23:00:00
Prémio Diário,20,–,2023-04-23 07:24:00
Prémio Diário,20,–,2023-04-24 08:48:00
Prémio Diário,20,–,2023-04-25 09:12:00
Prémio Diário,20,–,2023-04-26 10:36:00
